DateTime4,LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Speed (m/s),Temperature,DewPoint,Humidity,Pressure
01-01-2018 17.50,1867.447998,1918.296982,8.645208359,48,37,66,29.67
01-01-2018 18.20,2238.555664,2694.431106,9.862357777,48,39,71,29.67
01-01-2018 18.50,2672.180013,3071.74258,10.52524344,46,37,71,29.67
01-01-2018 19.20,2869.27539,3293.355503,11.14036369,45,37,76,29.67
01-01-2018 19.50,3199.864339,3409.914501,11.47388967,45,39,81,29.64
01-01-2018 20.20,3230.460693,3415.66449,11.48029677,45,37,76,29.64
01-01-2018 20.50,3181.371989,3396.760135,11.47822984,45,37,76,29.64
01-01-2018 21.20,3603.321289,3599.156489,13.12302653,45,37,76,29.64
01-01-2018 21.50,3587.805664,3600,13.16696994,45,37,76,29.64
01-01-2018 22.20,3481.083984,3596.210212,12.87774341,45,37,76,29.61
01-01-2018 22.50,3549.062663,3584.287952,12.65290673,45,37,76,29.61
01-01-2018 23.20,3536.236328,3581.568807,12.54593309,45,36,71,29.61
01-01-2018 23.50,3373.228678,3598.661597,13.04826005,45,36,71,29.61
02-01-2018 0.20,3384.384684,3563.078446,12.36463006,41,30,65,29.87
02-01-2018 0.50,3505.993408,3586.95571,12.64783001,39,30,70,29.87
02-01-2018 1.20,3505.976074,3556.00487,12.28084691,39,30,70,29.84
02-01-2018 1.50,3564.3514,3595.587656,13.13540013,39,30,70,29.84
02-01-2018 2.20,3563.732666,3600,14.19175974,39,30,70,29.84
02-01-2018 2.50,3436.255696,3600,13.75897344,50,43,88,29.64
02-01-2018 3.20,3425.948568,3598.83502,13.25063324,50,43,88,29.64
02-01-2018 3.50,3499.97762,3589.601582,12.6985267,39,32,75,29.84
02-01-2018 4.20,3517.710368,3595.255805,12.97455025,37,32,81,29.81
02-01-2018 4.50,3525.717936,3593.538868,12.79203319,41,34,76,29.81
02-01-2018 5.20,3470.686605,3562.281196,12.33636347,41,34,76,29.78
02-01-2018 5.50,3423.822022,3552.417587,12.267917,41,34,76,29.78
02-01-2018 5.50,3423.822022,3552.417587,12.267917,41,32,70,29.78
02-01-2018 6.20,3408.034668,3539.526204,12.21464984,41,34,76,29.78
02-01-2018 6.20,3408.034668,3539.526204,12.21464984,39,32,75,29.78
02-01-2018 6.50,3262.145996,3423.649165,11.6271534,45,32,61,29.78
02-01-2018 7.20,2906.250732,3084.025834,10.78308233,45,32,61,29.78
02-01-2018 7.50,3467.978678,3530.451894,12.38848686,46,32,57,29.78
02-01-2018 8.20,3430.041667,3474.702088,11.8164765,45,32,61,29.78
02-01-2018 8.50,3383.339925,3442.500657,11.65902964,46,34,62,29.78
02-01-2018 9.20,3206.299724,3325.123067,11.28090668,50,37,62,29.78
02-01-2018 9.50,3392.417643,3511.62789,13.00789356,50,37,62,29.78
02-01-2018 10.20,3600.57666,3600,15.84723663,52,36,54,29.78
02-01-2018 10.50,3597.795654,3600,14.73637327,54,36,51,29.78
02-01-2018 11.20,3590.850016,3600,14.79692999,55,36,47,29.78
02-01-2018 11.50,3561.388021,3596.842568,13.56968307,57,36,44,29.78
02-01-2018 12.20,3519.911051,3582.963305,12.74819342,59,36,42,29.78
02-01-2018 12.50,2446.303385,2511.577394,9.583470028,57,37,48,29.75
02-01-2018 13.20,2439.267334,2828.946701,10.1734155,57,37,48,29.75
02-01-2018 13.50,3179.013346,3316.601565,11.13668664,57,39,51,29.75
02-01-2018 14.20,3297.830648,3407.095245,11.51716677,57,41,55,29.75
02-01-2018 14.50,3534.897298,3575.112109,12.52049987,59,43,55,29.75
02-01-2018 15.20,3226.610596,3348.388963,11.41801993,59,43,55,29.75
02-01-2018 15.50,3462.53833,3543.13912,12.15619659,59,41,51,29.72
02-01-2018 16.20,3508.81429,3582.964441,12.94023005,59,41,51,29.72
02-01-2018 16.50,3591.034017,3595.695109,13.07379977,57,43,59,29.72
02-01-2018 17.20,3568.661621,3588.530299,12.72809982,55,43,63,29.72
02-01-2018 17.50,3470.74235,3537.062577,12.14820004,55,43,63,29.72
02-01-2018 18.20,3502.33138,3566.992497,12.40162341,55,43,63,29.75
02-01-2018 18.50,3236.008952,3428.296336,11.64419651,54,43,67,29.75
02-01-2018 19.20,2820.64209,3239.816117,10.93240325,52,45,76,29.75
02-01-2018 19.50,2621.903971,2984.800566,10.34910997,54,43,67,29.75
02-01-2018 20.20,2931.943278,3202.434106,11.07425594,54,45,72,29.75
02-01-2018 20.50,3527.44637,3563.591386,12.52810319,52,43,71,29.75
02-01-2018 21.20,3233.290609,3452.321537,11.82904339,52,43,71,29.75
02-01-2018 21.50,1949.954305,2338.556256,9.300883294,50,41,71,29.75
02-01-2018 22.20,1993.992676,2412.403917,9.420841853,48,41,76,29.75
02-01-2018 22.50,1589.945964,1828.60419,8.473273595,48,41,76,29.75
02-01-2018 23.20,1469.765991,1742.205162,8.357841174,54,43,67,29.75
02-01-2018 23.50,2008.557699,2205.181597,9.143373329,54,41,62,29.75
03-01-2018 0.20,2880.461426,2999.593001,10.61116696,30,25,80,29.78
03-01-2018 0.50,2840.056315,2999.813278,10.4417731,30,25,80,29.78
03-01-2018 1.20,976.8336996,1059.515136,7.047443867,30,25,80,29.78
03-01-2018 1.50,186.4895732,235.7435634,4.544098377,30,23,75,29.78
03-01-2018 2.20,1211.306254,1257.8286,7.416644732,28,25,86,29.78
03-01-2018 2.50,883.4524639,973.7137321,6.768453916,50,43,88,29.64
03-01-2018 3.20,660.9665833,666.5116564,6.086469332,50,43,88,29.64
03-01-2018 3.50,1104.830872,1186.678636,7.341674328,28,27,93,29.78
03-01-2018 4.20,1120.345337,1112.241643,7.202240308,28,27,93,29.78
03-01-2018 4.50,1434.581299,1447.308704,7.85295407,28,25,86,29.81
03-01-2018 5.20,968.7335815,1025.431087,7.014376958,27,25,93,29.81
03-01-2018 5.50,862.2871094,894.7121808,6.666496118,27,25,93,29.84
03-01-2018 5.50,862.2871094,894.7121808,6.666496118,27,23,86,29.87
03-01-2018 6.20,1548.322998,1468.710559,7.889541626,27,25,93,29.84
03-01-2018 6.20,1548.322998,1468.710559,7.889541626,27,23,86,29.87
03-01-2018 6.50,2316.349609,2408.634136,9.415528615,27,23,86,29.87
03-01-2018 7.20,2707.36735,2845.705314,10.38180479,27,23,86,29.87
03-01-2018 7.50,2638.623291,3073.429724,10.53224023,27,23,86,29.9
03-01-2018 8.20,1512.079346,1701.021569,8.236273289,27,23,86,29.9
03-01-2018 8.50,220.4030889,274.576143,4.665201028,27,23,86,29.9
03-01-2018 9.20,320.0234629,374.4441149,5.115877628,28,23,80,29.9
03-01-2018 9.50,158.4121373,158.3337687,4.108210405,28,23,80,29.9
03-01-2018 10.20,369.3167725,350.1142661,5.046756268,28,23,80,29.9
03-01-2018 10.50,301.4405365,303.1575988,4.828653653,30,25,80,29.93
03-01-2018 11.20,276.0234426,271.2112537,4.720730623,30,25,80,29.9
03-01-2018 11.50,447.8178304,460.9669297,5.467023373,32,25,75,29.9
03-01-2018 12.20,995.843526,996.1615492,6.948805014,34,23,65,29.9
03-01-2018 12.50,733.5761922,706.8447941,6.150521596,34,23,65,29.9
03-01-2018 13.20,561.2317708,571.2339822,5.823850314,34,23,65,29.87
03-01-2018 13.50,207.8470052,223.4975687,4.440794786,36,23,60,29.87
03-01-2018 14.20,307.4751434,346.1420348,5.005700906,36,21,56,29.84
03-01-2018 14.50,680.8743693,743.153195,6.334439278,36,23,60,29.84
03-01-2018 15.20,347.4909363,392.2717685,5.169390043,37,23,56,29.84
03-01-2018 15.50,6.563959756,43.03058314,3.333643357,39,23,52,29.81
03-01-2018 16.20,0,0,2.276436647,37,23,56,29.81
03-01-2018 16.50,0,14.20393804,2.966645002,39,23,52,29.78
03-01-2018 17.20,74.61247,137.6004815,4.048753261,39,25,56,29.78
03-01-2018 17.50,126.9744975,184.0267944,4.260213534,37,25,60,29.78
03-01-2018 18.20,382.0186056,415.7533533,5.274328232,37,25,60,29.78
03-01-2018 18.50,662.1725769,710.1696648,6.142957369,36,25,65,29.78
03-01-2018 19.20,1253.555989,1393.485026,7.749024232,36,27,70,29.78
03-01-2018 19.50,1692.134359,1784.520119,8.408185482,37,27,65,29.78
03-01-2018 20.20,1553.505982,1603.130603,8.122276306,36,27,70,29.78
03-01-2018 20.50,1580.593018,1552.093509,8.025422732,34,28,81,29.75
03-01-2018 21.20,1866.738688,1954.978783,8.69934845,34,28,81,29.75
03-01-2018 21.50,1803.699666,2064.067299,8.867574056,34,27,75,29.75
03-01-2018 22.20,1894.640299,1982.088763,8.744896253,34,28,81,29.75
03-01-2018 22.50,1900.579305,1923.215279,8.644538244,36,28,75,29.72
03-01-2018 23.20,1133.241923,1125.180868,7.223617236,36,28,75,29.72
03-01-2018 23.50,1142.316691,1085.658773,7.146089713,36,28,75,29.72
04-01-2018 0.20,1078.832133,968.8364103,6.885708332,55,45,67,29.55
04-01-2018 0.50,855.2749634,833.2206942,6.565997442,55,43,63,29.55
04-01-2018 1.20,1040.46399,953.4975136,6.855027676,54,43,67,29.52
04-01-2018 1.50,751.0559489,703.0573385,6.223120531,54,45,72,29.52
04-01-2018 2.20,1324.243001,1234.551657,7.454071045,55,43,63,29.52
04-01-2018 2.50,889.9172161,912.5635148,6.750562668,50,43,88,29.64
04-01-2018 3.20,1013.28951,981.7401475,6.916007996,50,43,88,29.64
04-01-2018 3.50,1987.014323,1991.591725,8.764186541,55,43,63,29.52
04-01-2018 4.20,1486.68164,1429.659758,7.816172441,55,43,63,29.49
04-01-2018 4.50,1181.457357,1130.640176,7.203502973,54,43,67,29.49
04-01-2018 5.20,478.7066956,487.5288597,5.504519463,57,43,59,29.49
04-01-2018 5.50,562.9313965,590.6986477,5.85107247,55,43,63,29.46
04-01-2018 5.50,562.9313965,590.6986477,5.85107247,57,41,55,29.46
04-01-2018 6.20,1669.70402,1647.939588,8.179682255,55,43,63,29.46
04-01-2018 6.20,1669.70402,1647.939588,8.179682255,55,43,63,29.43
04-01-2018 6.50,1512.298991,1504.359476,7.953748385,59,41,51,29.46
04-01-2018 7.20,1781.239665,1707.042893,8.299995104,59,43,55,29.43
04-01-2018 7.50,1685.090983,1618.050832,8.149700324,61,43,52,29.43
04-01-2018 8.20,1844.364298,1932.788776,8.621905963,61,45,55,29.43
04-01-2018 8.50,855.4762777,812.466404,6.412600994,61,45,55,29.43
04-01-2018 9.20,255.4929606,270.9650984,4.710255623,64,43,45,29.43
04-01-2018 9.50,566.351773,700.6048001,5.766200009,68,43,40,29.43
04-01-2018 10.20,1307.684332,1492.175463,7.557952236,70,41,35,29.4
04-01-2018 10.50,1307.684332,1492.175463,7.557952236,72,43,35,29.4
04-01-2018 11.20,1307.684332,1492.175463,7.557952236,73,37,27,29.37
04-01-2018 11.50,1307.684332,1492.175463,7.557952236,75,39,27,29.37
04-01-2018 12.20,1307.684332,1492.175463,7.557952236,75,37,25,29.37
04-01-2018 12.50,435.8947773,497.391821,4.277566774,75,37,25,29.34
04-01-2018 13.20,0,0,2.245174646,73,39,29,29.34
04-01-2018 13.50,0,15.24757515,2.904434999,75,41,29,29.34
04-01-2018 14.20,0,0,2.426999013,75,41,29,29.32
04-01-2018 15.50,70.23983257,489.1852075,5.409810384,73,41,31,29.29
04-01-2018 16.20,453.7565307,527.144504,5.682706038,73,41,31,29.26
04-01-2018 16.50,649.251475,707.446633,6.212362289,72,43,35,29.26
04-01-2018 17.20,1178.524984,1172.655365,7.324492772,70,43,38,29.26
04-01-2018 17.50,727.6621704,715.8863876,6.235332012,68,45,43,29.26
04-01-2018 18.20,873.8248088,816.1975799,6.52366972,68,45,43,29.29
04-01-2018 18.50,575.4318543,570.4505022,5.831481298,68,45,43,29.26
04-01-2018 19.20,1045.174866,930.6976526,6.800127347,68,45,43,29.26
04-01-2018 19.50,906.8339844,862.3187767,6.635689735,66,45,46,29.29
04-01-2018 20.20,1006.880941,886.2799305,6.597435315,68,45,43,29.29
04-01-2018 20.50,1416.983683,1402.21814,7.751634439,64,46,52,29.29
04-01-2018 21.20,520.6211751,514.6314731,5.620748202,63,48,59,29.32
04-01-2018 21.50,494.2127889,506.3514677,5.613511404,59,50,72,29.34
04-01-2018 22.20,662.7364604,674.1164039,6.122566382,61,45,55,29.34
04-01-2018 22.50,781.6260376,790.7354471,6.425309976,59,45,59,29.37
04-01-2018 23.20,647.1463216,665.9008368,6.118602594,57,45,63,29.37
04-01-2018 23.50,931.7105103,900.1810392,6.716607888,55,45,67,29.4
05-01-2018 0.20,877.2543538,840.0874176,6.58224535,54,50,88,29.61
05-01-2018 0.50,943.732727,860.6461337,6.627202352,54,50,88,29.61
05-01-2018 1.20,884.8601073,882.3098686,6.667152405,54,50,88,29.61
05-01-2018 1.50,924.9173991,928.6249351,6.796782653,54,50,88,29.58
05-01-2018 2.20,489.6855469,527.9827503,5.651409785,54,50,88,29.58
05-01-2018 2.50,230.9284668,237.9329826,4.537845929,50,43,88,29.64
05-01-2018 3.20,119.9739685,148.8765498,4.137035052,50,43,88,29.64
05-01-2018 3.50,115.6728083,157.6501216,4.170712948,54,52,94,29.58
05-01-2018 4.20,135.2538605,139.1852957,4.058581988,54,52,94,29.58
05-01-2018 4.50,441.2373962,470.2592611,5.502928257,54,52,94,29.58
05-01-2018 5.20,364.8769735,397.2941637,5.224110285,54,52,94,29.58
05-01-2018 5.50,110.8378245,121.5795145,3.973400354,54,52,94,29.58
05-01-2018 5.50,110.8378245,121.5795145,3.973400354,54,52,94,29.61
05-01-2018 6.20,96.99333189,128.2740946,4.016499043,54,52,94,29.58
05-01-2018 6.20,96.99333189,128.2740946,4.016499043,55,52,88,29.61
05-01-2018 6.50,75.31496938,106.2934226,3.878841003,55,52,88,29.61
05-01-2018 7.20,94.72108969,129.6940947,4.017519395,55,52,88,29.61
05-01-2018 7.50,4.644769987,38.02073064,3.227385362,55,50,82,29.61
05-01-2018 8.20,27.5269839,38.77835389,3.299610694,57,52,82,29.64
05-01-2018 8.50,0,7.352271473,2.812444687,57,52,82,29.64
05-01-2018 9.20,0,0,1.810401678,57,52,82,29.64
05-01-2018 9.50,0,0,1.74241666,61,52,72,29.64
05-01-2018 10.20,0,0,2.086764654,61,52,72,29.64
05-01-2018 10.50,0,0,1.253668189,63,52,68,29.64
05-01-2018 11.20,0,6.1739779,2.300843,64,52,64,29.64
05-01-2018 11.50,0,0,2.691762606,64,52,64,29.61
05-01-2018 13.20,0,0,2.071141402,64,54,68,29.61
05-01-2018 13.50,0,0,1.92521735,66,54,64,29.61
05-01-2018 14.20,0,0,1.823807001,66,54,64,29.61
05-01-2018 14.50,0,0,1.421913028,66,54,64,29.58
05-01-2018 15.20,0,0,1.610877037,68,54,60,29.58
05-01-2018 15.50,0,0,1.732166966,68,54,60,29.58
05-01-2018 16.20,0,0,2.400153955,66,54,64,29.58
05-01-2018 16.50,0,0,2.386947632,64,54,68,29.58
05-01-2018 17.20,0,8.572997233,2.977458,64,52,64,29.58
05-01-2018 17.50,0,0,2.76356403,63,52,68,29.58
05-01-2018 18.20,0,0,2.514343977,61,52,72,29.58
05-01-2018 19.20,0,0,2.057102641,57,52,82,29.58
05-01-2018 19.50,0,0,2.144687692,57,50,77,29.61
05-01-2018 20.20,0,0,2.561233044,55,50,82,29.61
05-01-2018 20.50,0,0,2.682205597,55,50,82,29.61
05-01-2018 21.20,0,0,1.815299352,55,50,82,29.61
05-01-2018 21.50,0,0,1.893736005,54,50,88,29.61
05-01-2018 22.20,0,0,2.063213348,54,50,88,29.61
05-01-2018 22.50,0,0,1.972297987,54,52,94,29.61
05-01-2018 23.20,0,0,1.326038678,55,52,88,29.61
05-01-2018 23.50,0,0,1.095863799,54,52,94,29.61
06-01-2018 0.20,0,0,0.820795218,64,57,77,29.58
06-01-2018 0.50,0,0,1.429661175,64,57,77,29.58
06-01-2018 1.20,0,0,0.767013232,63,57,82,29.58
06-01-2018 1.50,0,0,0.700732688,63,57,82,29.58
06-01-2018 2.20,0,0,0.590998172,63,57,82,29.58
06-01-2018 2.50,0,0,0.789361109,50,43,88,29.64
06-01-2018 3.20,0,0,1.786278009,50,43,88,29.64
06-01-2018 3.50,0,0,0.784911116,63,57,82,29.58
06-01-2018 4.20,0,0,0.463938902,63,59,88,29.58
06-01-2018 4.50,0,0,1.345197558,63,59,88,29.58
06-01-2018 5.20,20.28742949,75.7922295,3.647415002,63,59,88,29.58
06-01-2018 5.50,0,0,1.80927829,63,59,88,29.58
06-01-2018 6.20,0,0,0.83765168,63,59,88,29.58
06-01-2018 6.20,0,0,0.83765168,64,61,88,29.58
06-01-2018 6.50,0,0,0.760070225,66,61,83,29.61
06-01-2018 7.20,0,0,0.902832707,68,61,78,29.61
06-01-2018 7.50,0,0,0.609809856,68,61,78,29.61
06-01-2018 8.20,0,0,1.372645617,70,59,68,29.61
06-01-2018 8.50,0,0,0.681310485,72,59,64,29.61
06-01-2018 9.20,0,0,0.836823503,72,57,60,29.61
06-01-2018 9.50,0,0,1.821416696,73,57,57,29.61
06-01-2018 10.20,0,0,2.299707691,73,57,57,29.61
06-01-2018 10.50,435.8947773,497.391821,3.789099399,75,57,53,29.64
06-01-2018 11.20,1307.684332,1492.175463,7.557952236,73,57,57,29.64
06-01-2018 12.20,0,0,2.867530982,79,54,42,29.61
06-01-2018 12.50,0,0,2.350870252,79,54,42,29.61
06-01-2018 14.50,11.80567296,288.2047332,4.796976725,81,50,34,29.61
06-01-2018 15.20,99.61818567,152.0666414,4.121631304,81,50,34,29.58
06-01-2018 15.50,28.12879651,34.32542461,3.313086669,79,50,36,29.58
06-01-2018 17.50,126.2075679,307.1471381,4.877576669,75,54,47,29.61
06-01-2018 18.20,455.990387,511.97335,5.631837686,73,52,47,29.61
06-01-2018 18.50,676.2920125,743.1934854,6.335142612,73,50,44,29.61
06-01-2018 19.20,582.7111002,671.5638137,6.135713736,72,48,43,29.61
06-01-2018 19.50,1050.812175,1253.274748,7.467323144,70,50,49,29.61
06-01-2018 20.20,1870.753662,2186.253668,9.061983426,68,52,56,29.61
06-01-2018 20.50,2631.666341,3016.154062,10.43202654,68,52,56,29.64
06-01-2018 21.20,3349.338298,3466.349084,11.81100337,66,52,60,29.64
06-01-2018 21.50,3595.856038,3584.230075,12.64784336,68,48,49,29.64
06-01-2018 22.20,3510.091308,3530.688781,12.11966642,66,48,52,29.67
06-01-2018 22.50,3357.828288,3436.637262,11.56437333,64,52,64,29.67
06-01-2018 23.20,3226.055339,3425.683456,11.51907985,64,52,64,29.64
06-01-2018 23.50,3039.208008,3342.553778,11.21754678,66,50,56,29.67
07-01-2018 0.20,3086.198649,3388.970861,11.40813669,73,66,78,29.4
07-01-2018 0.50,3285.769287,3505.282308,12.01484648,73,66,78,29.43
07-01-2018 1.20,2708.095297,3066.442811,10.50285689,73,66,78,29.43
07-01-2018 1.50,2825.020019,3160.664705,10.75082366,73,66,78,29.43
07-01-2018 2.20,3199.291748,3422.394183,11.51607005,73,64,73,29.43
07-01-2018 2.50,3453.638997,3542.204986,12.16677316,50,43,88,29.64
07-01-2018 3.20,3589.254313,3570.683273,12.42617671,50,43,88,29.64
07-01-2018 3.50,3603.112956,3594.422774,12.79621665,73,64,73,29.43
07-01-2018 4.20,3578.69458,3593.594139,12.84946346,73,64,73,29.43
07-01-2018 4.50,3483.217692,3600,13.30404663,73,64,73,29.43
07-01-2018 5.20,3433.593669,3600,13.72695351,73,66,78,29.46
07-01-2018 5.50,3405.742025,3600,14.24303659,73,66,78,29.46
07-01-2018 5.50,3405.742025,3600,14.24303659,73,66,78,29.49
07-01-2018 6.20,3439.795654,3600,15.53345648,73,66,78,29.46
07-01-2018 6.20,3439.795654,3600,15.53345648,73,66,78,29.49
07-01-2018 6.50,3494.236979,3600,15.86819013,73,66,78,29.49
07-01-2018 7.20,3604.188965,3600,15.96775023,73,66,78,29.52
07-01-2018 7.50,3604.07373,3600,14.48556646,75,66,73,29.52
07-01-2018 8.20,2889.893067,2943.847774,10.90886275,75,66,73,29.52
07-01-2018 8.50,2279.580363,2231.772043,9.133156777,75,64,69,29.55
07-01-2018 9.20,2620.879964,2724.732038,9.922585806,73,64,73,29.55
07-01-2018 9.50,2831.136637,3004.856515,10.46286742,77,66,69,29.55
07-01-2018 10.20,2528.440959,2625.207982,9.774674417,79,64,61,29.55
07-01-2018 10.50,2224.83431,2356.79714,9.32722346,79,66,65,29.55
07-01-2018 11.20,2399.541341,2532.147669,9.618373872,77,64,65,29.58
07-01-2018 11.50,3494.622314,3554.317381,12.24068673,79,66,65,29.58
07-01-2018 12.20,3313.745687,3459.02746,11.69389661,77,66,69,29.58
07-01-2018 12.50,3073.886393,3289.525501,11.11052004,79,66,65,29.58
07-01-2018 13.20,3389.025309,3489.059366,11.88576698,79,64,61,29.58
07-01-2018 13.50,3536.024333,3578.242344,12.6085132,79,63,57,29.58
07-01-2018 14.20,3488.572673,3525.995218,12.07838377,82,63,51,29.58
07-01-2018 14.50,3440.043294,3505.952975,11.9053402,82,64,54,29.58
07-01-2018 15.20,3559.625,3573.658717,12.45524311,82,63,51,29.58
07-01-2018 15.50,3505.513591,3526.926064,12.05151335,82,64,54,29.58
07-01-2018 16.20,3537.723633,3562.33746,12.34220664,81,63,54,29.58
07-01-2018 16.50,3451.551921,3494.89147,11.91784986,81,63,54,29.58
07-01-2018 17.20,3438.271322,3494.95992,11.85867341,79,61,54,29.58
07-01-2018 17.50,3343.411295,3457.740787,11.65660318,79,61,54,29.58
07-01-2018 18.20,3310.016357,3442.800628,11.59797001,79,61,54,29.58
07-01-2018 18.50,3471.469645,3489.078476,11.84053326,77,61,57,29.61
07-01-2018 19.20,3169.409342,3329.624448,11.18364016,77,61,57,29.61
07-01-2018 19.50,3563.91626,3578.417188,12.52832985,75,64,69,29.61
07-01-2018 20.20,3418.743001,3599.29504,13.8968366,73,64,73,29.61
07-01-2018 20.50,3534.471029,3600,15.23244,73,64,73,29.64
07-01-2018 21.20,3604.467041,3600,14.52852313,72,66,83,29.64
07-01-2018 21.50,3604.353027,3600,13.51694012,72,64,78,29.64
07-01-2018 22.20,3603.435058,3594.384143,12.88161659,72,64,78,29.64
07-01-2018 22.50,3469.051758,3539.29836,12.14103667,70,64,83,29.64
07-01-2018 23.20,3043.475016,3322.53004,11.15050666,70,64,83,29.64
07-01-2018 23.50,2682.815592,2902.592533,10.25935586,70,64,83,29.64
08-01-2018 0.20,2265.157389,2403.898569,9.414892832,77,72,83,29.49
08-01-2018 0.50,2123.059652,2266.508843,9.193419774,75,72,89,29.49
08-01-2018 1.20,1715.625325,1830.42251,8.500594775,75,72,89,29.49
08-01-2018 1.50,1263.605021,1287.626013,7.539692243,75,72,89,29.49
08-01-2018 2.20,1291.662313,1378.244985,7.724679311,75,72,89,29.49
08-01-2018 2.50,1087.45933,1110.380267,7.188647429,50,43,88,29.64
08-01-2018 3.20,904.5291138,920.5650984,6.774610361,50,43,88,29.64
08-01-2018 3.50,1070.996399,1121.319393,7.223822912,75,72,89,29.49
08-01-2018 4.20,1380.825643,1440.958537,7.838930289,75,72,89,29.49
08-01-2018 4.50,1195.016032,1313.962305,7.606404463,75,72,89,29.49
08-01-2018 5.20,1028.273051,1060.12527,7.090996265,75,72,89,29.49
08-01-2018 5.50,738.4863688,759.1229658,6.345430692,75,72,89,29.49
08-01-2018 6.20,567.7182617,621.3376742,5.984479268,75,73,94,29.52
08-01-2018 6.50,689.2648926,776.5549288,6.402223905,72,68,88,29.52
08-01-2018 7.20,874.8342692,982.9793323,6.896194935,73,68,83,29.52
08-01-2018 7.50,683.5516358,719.2038165,6.254982948,75,70,83,29.52
08-01-2018 8.20,244.6437734,247.1469295,4.571738799,77,70,78,29.55
08-01-2018 8.50,131.3927002,131.5586987,4.03105259,77,73,89,29.55
08-01-2018 9.20,287.3421732,279.532117,4.736401717,79,73,83,29.55
08-01-2018 9.50,233.0223694,195.8251113,4.333950043,81,73,79,29.55
08-01-2018 10.20,66.01208273,64.69701458,3.474805991,81,73,79,29.55
08-01-2018 10.50,91.86675517,103.8689694,3.745829264,84,72,66,29.55
08-01-2018 11.20,20.3434871,9.78306136,2.961516619,84,70,62,29.55
08-01-2018 11.50,99.86022695,77.86087752,3.540867329,84,70,62,29.55
08-01-2018 12.20,116.1088358,124.7667854,3.995712042,86,68,55,29.55
08-01-2018 12.50,41.62755966,48.48524698,3.401024739,86,66,51,29.55
08-01-2018 13.20,38.84973009,34.80355857,3.098589659,86,70,58,29.55
08-01-2018 13.50,0,0,2.009717345,86,70,58,29.55
08-01-2018 14.20,0.590555986,0,2.489487012,86,70,58,29.55
08-01-2018 14.50,0,17.79090328,2.864557664,86,70,58,29.55
08-01-2018 16.50,92.51080323,276.3643622,4.727650007,84,70,62,29.55
08-01-2018 17.20,546.2208964,654.9112576,6.079099655,84,70,62,29.55
