Date,LV ActivePower (kW),Wind Speed (m/s),Theoretical_Power_Curve (KWh)
01-01-2018 6.50,957.3781738,6.886455059,965.6833344
01-01-2018 7.00,909.8878174,6.887821198,966.2791049
01-01-2018 7.10,1000.953979,7.216432095,1116.471899
01-01-2018 7.20,1024.478027,7.068597794,1047.170231
01-01-2018 7.30,1009.533997,6.938295841,988.4519407
01-01-2018 7.40,899.492981,6.536687851,820.4166586
01-01-2018 7.50,725.1101074,6.180624962,686.6369422
01-01-2018 8.00,585.2593994,5.816825867,564.9276595
01-01-2018 8.10,443.9139099,5.450150967,454.7735871
01-01-2018 8.20,565.2537842,5.81814909,565.3490932
01-01-2018 8.30,644.0377808,6.130272865,668.8235693
01-01-2018 8.40,712.0588989,6.347077847,747.4606734
01-01-2018 8.50,737.3947754,6.347436905,747.5951091
01-01-2018 9.00,725.868103,6.194368839,691.5463343
01-01-2018 9.10,408.997406,4.977198124,330.4176304
01-01-2018 9.20,628.4368286,5.959111214,611.2838365
01-01-2018 9.30,716.1005859,6.21137619,697.6494744
01-01-2018 9.40,711.4956055,6.111453056,662.235163
01-01-2018 9.50,838.1519165,6.456322193,789.0114224
01-01-2018 10.00,881.0620728,6.666657925,872.7396259
01-01-2018 10.10,663.703125,6.16287899,680.3278917
01-01-2018 10.20,578.2615967,6.013167858,628.4425608
01-01-2018 10.30,465.6200867,5.561203003,486.7795676
01-01-2018 10.40,311.0509033,4.960731983,326.4110254
01-01-2018 10.50,230.0554962,4.60387516,244.3162442
01-01-2018 11.00,233.9906006,4.554533958,233.6327805
01-01-2018 11.10,175.5921936,4.26362896,173.5736631
01-01-2018 11.20,118.1331024,3.894139051,108.5712211
01-01-2018 11.30,142.2024994,4.038761139,130.2299896
01-01-2018 11.40,212.5661926,4.505650997,223.1967841
01-01-2018 11.50,222.6100006,4.543397903,231.2425073
01-01-2018 12.00,194.1811981,4.323760986,185.5984796
01-01-2018 12.10,82.64074707,3.634437084,68.5028198
01-01-2018 12.20,75.8952179,3.705512047,78.39616535
01-01-2018 12.30,41.94723892,3.253968,29.28695563
01-01-2018 12.40,118.5345993,3.775136948,88.87136533
01-01-2018 12.50,250.7559052,4.693500996,264.1192574
01-01-2018 13.00,346.8644104,5.002939224,336.7219982
01-01-2018 13.10,416.4179077,5.364749908,430.921089
01-01-2018 13.20,331.9414978,5.016181946,339.9849402
01-01-2018 13.30,583.4799194,5.970407963,615.0556308
01-01-2018 13.40,776.5526733,6.655520916,868.1808449
01-01-2018 13.50,752.7263794,6.600903988,846.0294095
01-01-2018 14.00,589.0731201,5.981378078,618.7314427
01-01-2018 14.10,1109.128052,7.424593925,1219.199787
01-01-2018 14.20,1482.459961,8.186451912,1638.508909
01-01-2018 14.30,1523.430054,8.27493,1691.147039
01-01-2018 14.40,1572.170044,8.449202538,1796.76309
01-01-2018 14.50,1698.939941,8.575974464,1875.047197
01-01-2018 15.00,1616.845947,8.282259941,1695.538777
01-01-2018 15.10,1796.823975,8.734552383,1974.4758
01-01-2018 15.20,1885.860962,8.764103889,1993.170712
01-01-2018 15.30,2327.511963,9.669431686,2568.827129
01-01-2018 15.40,2499.162109,10.14109039,2876.753616
01-01-2018 15.50,2820.512939,10.77241993,3186.029883
01-01-2018 16.00,2812.279053,10.64752007,3133.259224
01-01-2018 16.10,2530.447021,9.982661247,2781.274041
01-01-2018 16.20,2399.121094,9.874385834,2711.492458
01-01-2018 16.30,2335.587891,9.785479546,2651.341009
01-01-2018 16.40,2341.133057,9.614232063,2527.945451
01-01-2018 16.50,2391.8479,9.618504524,2531.14794
01-01-2018 17.00,2118.389893,9.098683357,2207.79282
01-01-2018 17.10,1866.845947,8.677425385,1938.478601
01-01-2018 17.20,1865.619019,8.774898529,2000.011716
01-01-2018 17.30,1862.447998,8.689981461,1946.373955
01-01-2018 17.40,1884.119019,8.631073952,1909.416256
01-01-2018 17.50,1855.776978,8.614569664,1899.100734
01-01-2018 18.00,1958.133057,9.21884346,2285.917032
01-01-2018 18.10,2228.24292,10.04951954,2822.50949
01-01-2018 18.20,2529.291016,10.31871033,2974.866796
01-01-2018 18.30,2788.25708,10.76675987,3183.72246
01-01-2018 18.40,2692.929932,10.55825043,3093.110672
01-01-2018 18.50,2535.353027,10.25072002,2938.394607
01-01-2018 19.00,2584.665039,10.46477032,3048.823833
01-01-2018 19.10,2960.183105,11.39078045,3393.645541
01-01-2018 19.20,3062.978027,11.56554031,3437.597135
01-01-2018 19.30,3024.39209,11.2802496,3362.668742
01-01-2018 19.40,3187.9729,11.33677959,3378.826271
01-01-2018 19.50,3387.228027,11.80463982,3488.248491
01-01-2018 20.00,3209.018066,11.3635397,3386.244486
01-01-2018 20.10,3272.665039,11.63259029,3452.881108
01-01-2018 20.20,3209.698975,11.44476032,3407.867876
01-01-2018 20.30,3134.518066,11.27190018,3360.225775
01-01-2018 20.40,2977.824951,11.05900955,3292.880925
01-01-2018 20.50,3431.772949,12.10377979,3537.173706
01-01-2018 21.00,3604.209961,12.92813969,3597.469467
01-01-2018 21.10,3601.327881,13.31941986,3600
01-01-2018 21.20,3604.426025,13.12152004,3600
01-01-2018 21.30,3604.391113,13.23544979,3600
01-01-2018 21.40,3604.337891,13.23589993,3600
01-01-2018 21.50,3554.687988,13.02956009,3600
01-01-2018 22.00,3479.407959,12.96393967,3597.794635
01-01-2018 22.10,3472.333008,12.90295029,3597.13106
01-01-2018 22.20,3491.510986,12.76634026,3593.704942
01-01-2018 22.30,3536.989014,12.89834976,3597.059449
01-01-2018 22.40,3528.658936,12.74211025,3592.814313
01-01-2018 22.50,3581.540039,12.31826019,3562.990095
01-01-2018 23.00,3570.079102,12.41880989,3572.556143
01-01-2018 23.10,3597.604004,12.54298973,3582.204643
01-01-2018 23.20,3441.025879,12.67599964,3589.945634
01-01-2018 23.30,3373.969971,13.00304985,3600
01-01-2018 23.40,3369.812988,13.29767036,3600
01-01-2018 23.50,3375.903076,12.84405994,3595.984792
02-01-2018 0.00,1048.959961,7.304613113,1159.231176
02-01-2018 0.10,979.9608765,7.163776875,1091.452072
02-01-2018 0.20,969.8032837,7.075486183,1050.334964
02-01-2018 0.30,986.7078247,7.054255009,1040.600521
02-01-2018 0.40,1254.062012,7.665124893,1344.459008
02-01-2018 0.50,1531.854004,8.378613472,1753.688825
02-01-2018 1.00,1647.985962,8.544137955,1855.280965
02-01-2018 1.10,1759.162964,8.891946793,2074.580105
02-01-2018 1.20,2070.001953,9.467797279,2448.846964
02-01-2018 1.30,2349.626953,9.986474037,2783.663218
02-01-2018 1.40,2598.861084,10.44132996,3037.350769
02-01-2018 1.50,2881.657959,10.94509029,3252.708652
02-01-2018 2.00,3278.031006,11.72762012,3473.090795
02-01-2018 2.10,3298.879883,11.75205994,3478.017803
02-01-2018 2.20,3318.629883,11.87014961,3500.298621
02-01-2018 2.30,3448.175049,12.08732986,3534.881664
02-01-2018 2.40,3577.952881,12.67918968,3590.098867
02-01-2018 2.50,3598.479004,13.12724018,3600
02-01-2018 3.00,3603.194092,13.74808979,3600
02-01-2018 3.10,3600.871094,13.72381973,3600
02-01-2018 3.20,3601.156982,13.59587955,3600
02-01-2018 3.30,3603.072998,13.71520996,3600
02-01-2018 3.40,3603.434082,14.17415047,3600
02-01-2018 3.50,3603.688965,14.17166996,3600
02-01-2018 4.00,3603.565918,14.29284954,3600
02-01-2018 4.10,3603.702881,14.14015007,3600
02-01-2018 4.20,3603.653076,14.28324986,3600
02-01-2018 4.30,3603.493896,14.82180023,3600
02-01-2018 4.40,3603.208008,15.29409027,3600
02-01-2018 4.50,3603.63501,15.58183002,3600
02-01-2018 5.00,3603.666016,15.62203026,3600
02-01-2018 5.10,3603.336914,15.81826019,3600
02-01-2018 5.20,3603.485107,16.00909996,3600
02-01-2018 5.30,3603.542969,16.1455307,3600
02-01-2018 5.40,3603.52002,16.0315609,3600
02-01-2018 5.50,3603.375977,16.07241058,3600
02-01-2018 6.00,3603.138916,16.42658043,3600
02-01-2018 6.10,3603.150879,16.27462006,3600
02-01-2018 6.20,3603.290039,16.02776909,3600
02-01-2018 6.30,3603.354004,15.90668964,3600
02-01-2018 6.40,3603.110107,15.98458004,3600
02-01-2018 6.50,3603.070068,16.3017292,3600
02-01-2018 7.00,3603.290039,16.74374008,3600
02-01-2018 7.10,3602.888916,16.08974075,3600
02-01-2018 7.20,3603.104004,15.55249977,3600
02-01-2018 7.30,3602.660889,14.95512009,3600
02-01-2018 7.40,3601.916992,15.84657955,3600
02-01-2018 7.50,3582.168945,13.45890045,3600
02-01-2018 8.00,3127.727051,10.7768898,3187.846549
02-01-2018 8.10,3591.183105,14.73614025,3600
02-01-2018 8.20,3602.562988,14.88064957,3600
02-01-2018 8.30,3601.860107,14.16022968,3600
02-01-2018 8.40,3595.912109,14.11410999,3600
02-01-2018 8.50,3595.168945,13.72568989,3600
02-01-2018 9.00,3590.108887,13.63955021,3600
02-01-2018 9.10,3592.2229,14.22426987,3600
02-01-2018 9.20,3451.397949,13.10842037,3600
02-01-2018 9.30,3524.693115,12.96125984,3597.776612
02-01-2018 9.40,3591.820068,13.69501972,3600
02-01-2018 9.50,3249.639893,11.54627991,3433.047287
02-01-2018 10.00,3528.270996,13.26651955,3600
02-01-2018 10.10,3520.330078,14.07551956,3600
02-01-2018 10.20,3592.537109,13.90579987,3600
02-01-2018 10.30,3590.076904,14.20102024,3600
02-01-2018 10.40,3598.303955,13.78652954,3600
02-01-2018 10.50,3547.341064,13.05255032,3600
02-01-2018 11.00,3592.822021,12.95417023,3597.724007
02-01-2018 11.10,3227.930908,11.47591019,3415.809799
02-01-2018 11.20,3401.683105,11.94305038,3512.815335
02-01-2018 11.30,3332.659912,11.58664989,3442.501706
02-01-2018 11.40,3519.195068,13.2282896,3600
02-01-2018 11.50,3603.042969,14.46080017,3600
02-01-2018 12.00,3602.541016,13.58191013,3600
02-01-2018 12.10,3580.521973,14.98604012,3600
02-01-2018 12.20,3602.681885,15.52534962,3600
02-01-2018 12.30,3602.941895,14.29419994,3600
02-01-2018 12.40,3567.235107,13.24092007,3600
02-01-2018 12.50,3593.980957,14.08401012,3600
02-01-2018 13.00,3502.676025,13.1743803,3600
02-01-2018 13.10,3572.605957,12.90340996,3597.138048
02-01-2018 13.20,3453.524902,12.34185028,3565.377249
02-01-2018 13.30,3514.4729,12.17714024,3546.848195
02-01-2018 13.40,3310.069092,11.90120983,3505.74554
02-01-2018 13.50,3497.3479,12.11209965,3538.315745
02-01-2018 14.00,3462.13501,12.27756977,3558.664596
02-01-2018 14.10,3308.635986,11.68010044,3463.195518
02-01-2018 14.20,3345.438965,11.94764042,3513.57234
02-01-2018 14.30,3409.305908,11.71805,3471.131563
02-01-2018 14.40,3542.572998,12.39025974,3570.001145
02-01-2018 14.50,3285.303955,11.47132015,3414.651631
02-01-2018 15.00,3601.284912,13.90285015,3600
02-01-2018 15.10,3603.0271,14.28260994,3600
02-01-2018 15.20,3582.74707,13.50732994,3600
02-01-2018 15.30,3599.788086,14.51453018,3600
02-01-2018 15.40,3597.698975,14.61207008,3600
02-01-2018 15.50,3602.436035,16.34477997,3600
02-01-2018 16.00,3602.727051,15.7329998,3600
02-01-2018 16.10,3602.312988,14.67728996,3600
02-01-2018 16.20,3602.960938,15.40987968,3600
02-01-2018 16.30,3602.610107,16.18814087,3600
02-01-2018 16.40,3602.772949,15.13405037,3600
02-01-2018 16.50,3602.85791,15.96313953,3600
02-01-2018 17.00,3602.729004,16.93906975,3600
02-01-2018 17.10,3602.187988,18.45926094,3600
02-01-2018 17.20,3602.148926,18.22701073,3600
02-01-2018 17.30,3602.106934,18.37099075,3600
02-01-2018 17.40,3602.406006,17.82807922,3600
02-01-2018 17.50,3602.391113,17.92086983,3600
02-01-2018 18.00,3602.100098,17.54693031,3600
02-01-2018 18.10,3602.349121,17.58315086,3600
02-01-2018 18.20,3602.334961,18.20268059,3600
02-01-2018 18.30,3602.172119,18.7849102,3600
02-01-2018 18.40,3602.589111,19.65395927,3600
02-01-2018 18.50,3602.549072,18.77857971,3600
02-01-2018 19.00,3602.971924,18.63231087,3600
02-01-2018 19.10,3602.670898,18.07914925,3600
02-01-2018 19.20,3602.770996,17.45800018,3600
02-01-2018 19.30,3602.670898,16.67737007,3600
02-01-2018 19.40,3602.818115,15.66804981,3600
02-01-2018 19.50,3602.593018,15.39078045,3600
02-01-2018 20.00,3496.166016,17.05507088,3600
02-01-2018 20.10,3602.954102,17.16139984,3600
02-01-2018 20.20,3602.615967,17.87846947,3600
02-01-2018 20.30,3602.572021,18.5248394,3600
02-01-2018 20.40,3602.679932,18.44515991,3600
02-01-2018 20.50,3602.883057,18.79821014,3600
02-01-2018 21.00,3603.309082,19.20457077,3600
02-01-2018 21.10,3602.895996,18.74267006,3600
02-01-2018 21.20,3602.858887,18.86220932,3600
02-01-2018 21.30,3602.99707,19.67931938,3600
02-01-2018 21.40,3603.049072,20.14814949,3600
02-01-2018 21.50,3602.631104,19.75909996,3600
02-01-2018 22.00,3602.606934,20.57554054,3600
02-01-2018 22.10,3602.685059,20.71032906,3600
02-01-2018 22.20,3602.537109,21.10598946,3600
02-01-2018 22.30,3602.548096,21.75333977,3600
02-01-2018 22.40,3602.428955,21.37599945,3600
02-01-2018 22.50,3602.221924,21.92576027,3600
02-01-2018 23.00,3602.220947,21.44915962,3600
02-01-2018 23.10,3601.811035,19.33621025,3600
02-01-2018 23.20,3601.795898,18.75452995,3600
02-01-2018 23.30,3602.351074,19.32184982,3600
02-01-2018 23.40,3602.604004,18.7791996,3600
02-01-2018 23.50,3602.594971,19.38499069,3600
03-01-2018 0.00,0,4.684497833,262.1063485
03-01-2018 0.10,0,4.377705097,196.5529345
03-01-2018 0.20,0,3.969310999,122.183057
03-01-2018 0.30,0,4.819458961,292.8539125
03-01-2018 0.40,0,5.434207916,450.2712378
03-01-2018 0.50,0,5.599915981,498.20707
03-01-2018 1.00,0,5.864426136,580.2009552
03-01-2018 1.10,0,5.481966019,463.8270337
03-01-2018 1.20,0,6.521284103,814.3416035
03-01-2018 1.30,0,6.490253925,802.1838767
03-01-2018 1.40,0,5.627789021,506.5230177
03-01-2018 1.50,0,6.324977875,739.2130885
03-01-2018 2.00,0,6.398347855,766.7986785
03-01-2018 2.10,0,6.573998928,835.2417804
03-01-2018 2.20,0,5.205535889,388.1445988
03-01-2018 2.30,0,5.354609013,428.1316007
03-01-2018 2.40,0,3.922697067,113.6358964
03-01-2018 2.50,0,4.314087868,183.6510266
03-01-2018 3.00,0,4.138027191,149.060115
03-01-2018 3.10,0,3.667910099,73.0614352
03-01-2018 3.20,0,3.935327053,115.9174014
03-01-2018 3.30,0,3.350229979,37.02024234
03-01-2018 3.40,0,4.177535057,156.6854803
03-01-2018 3.50,0,3.680429935,74.8125497
03-01-2018 4.00,0,3.645895958,70.04319773
03-01-2018 4.10,0,3.434448004,45.00194156
03-01-2018 4.20,0,3.466011047,48.28565722
03-01-2018 4.30,0,3.990525961,126.1881651
03-01-2018 4.40,0,3.803633928,93.38248496
03-01-2018 4.50,0,4.069724083,136.0541513
03-01-2018 5.00,0,4.180127144,157.1884651
03-01-2018 5.10,0,4.345411777,189.9758297
03-01-2018 5.20,0,3.98368597,124.8889981
03-01-2018 5.30,0,3.824911118,96.83542391
03-01-2018 5.40,0,3.386888027,40.35500452
03-01-2018 5.50,0,3.117675066,20.8733958
03-01-2018 6.00,0,3.779800892,89.60078302
03-01-2018 6.10,0,3.512397051,53.40076465
03-01-2018 6.20,0,3.55685997,58.62696115
03-01-2018 6.30,0,2.768383026,0
03-01-2018 6.40,0,3.555183887,58.42421631
03-01-2018 6.50,0,2.467669964,0
03-01-2018 7.00,0,1.502225995,0
03-01-2018 7.10,0,1.335093975,0
03-01-2018 7.20,0,1.507913947,0
03-01-2018 7.30,0,1.495918989,0
03-01-2018 7.40,0,1.522688031,0
03-01-2018 7.50,0,0.914517283,0
03-01-2018 8.00,0,0.700203478,0
03-01-2018 8.10,0,1.109379053,0
03-01-2018 8.20,0,1.434409022,0
03-01-2018 8.30,0,1.746626973,0
03-01-2018 8.40,0,2.519784927,0
03-01-2018 8.50,0,2.992203951,0
03-01-2018 9.00,0,2.85493803,0
03-01-2018 9.10,0,2.366580009,0
03-01-2018 9.20,0,3.333187103,35.54307897
03-01-2018 9.30,0,3.677329063,74.37650284
03-01-2018 9.40,0,3.722282887,80.84845782
03-01-2018 9.50,0,4.541118145,230.754114
03-01-2018 10.00,0,4.108724117,143.4532874
03-01-2018 10.10,0,3.635420084,68.63413734
03-01-2018 10.20,0,3.344899893,36.55327145
03-01-2018 10.30,0,4.075325012,137.1123981
03-01-2018 10.40,0,3.003505945,16.11317358
03-01-2018 10.50,0,4.45563221,212.6671284
03-01-2018 11.00,0,4.670608997,259.0115793
03-01-2018 11.10,0,4.191781998,159.4541859
03-01-2018 11.20,0,5.131960869,369.091994
03-01-2018 11.30,0,4.757643223,278.6167066
03-01-2018 11.40,0,4.211825848,163.3666961
03-01-2018 11.50,0,4.027423859,128.1083336
03-01-2018 12.00,0,3.798028946,92.48494215
03-01-2018 12.10,0,3.60788393,65.01411557
03-01-2018 12.20,0,3.127506018,21.38081533
03-01-2018 12.30,0,3.309792995,33.59111186
03-01-2018 12.40,0,2.91533494,0
03-01-2018 12.50,0,4.361929893,193.332795
03-01-2018 13.00,0,4.440526962,209.5162588
03-01-2018 13.10,0,4.19259882,159.6132321
03-01-2018 13.20,0,3.591486931,62.91612494
03-01-2018 13.30,0,4.589199066,241.1226101
03-01-2018 13.40,0,4.261725903,173.1962339
03-01-2018 13.50,0,4.509977818,224.1146588
03-01-2018 14.00,0,4.506061077,223.2837285
03-01-2018 14.10,0,5.141982079,371.6612035
03-01-2018 14.20,0,5.747825146,543.1976655
03-01-2018 14.30,0,5.373491764,433.3329738
03-01-2018 14.40,0,5.018233776,340.4916999
03-01-2018 14.50,0,5.482956886,464.1104804
03-01-2018 15.00,0,5.693935871,526.5580662
03-01-2018 15.10,0,6.016439915,629.5509517
03-01-2018 15.20,0,5.75818491,546.4295933
03-01-2018 15.30,0,5.654818058,514.6584477
03-01-2018 15.40,0,6.354059219,750.0770909
03-01-2018 15.50,0,7.569488049,1293.948508
03-01-2018 16.00,137.5783997,8.194876671,1643.490688
03-01-2018 16.10,284.2168884,8.584049225,1880.071449
03-01-2018 16.20,396.6679077,8.67669487,1938.019541
03-01-2018 16.30,725.6403809,9.194405556,2269.994282
03-01-2018 16.40,1528.517944,9.330274582,2358.703787
03-01-2018 16.50,1821.39502,9.299724579,2338.72149
03-01-2018 17.00,1731.375,8.673816681,1936.211185
03-01-2018 17.10,1947.654053,9.237607002,2298.153182
03-01-2018 17.20,2061.914063,9.655900002,2558.904067
03-01-2018 17.30,2111.23999,9.439748764,2430.44089
03-01-2018 17.40,2147.1521,9.441122055,2431.341869
03-01-2018 17.50,2277.9021,9.661714554,2563.175815
03-01-2018 18.00,2512.01709,9.889401436,2721.395165
03-01-2018 18.10,2713.668945,10.59867001,3111.54494
03-01-2018 18.20,2848.50293,11.0479002,3289.093154
03-01-2018 18.30,2560.510986,10.22572994,2924.654198
03-01-2018 18.40,2604.457031,10.18402958,2901.319299
03-01-2018 18.50,2786.439941,10.38185978,3007.568043
03-01-2018 19.00,2886.14209,10.41866016,3026.112411
03-01-2018 19.10,3228.114014,11.03386974,3284.269703
03-01-2018 19.20,3298.464111,11.35653019,3384.315571
03-01-2018 19.30,3451.975098,11.75566006,3478.734332
03-01-2018 19.40,3225.177002,11.21907043,3344.427015
03-01-2018 19.50,3199.35791,11.15165043,3323.397827
03-01-2018 20.00,3107.228027,11.04689026,3288.747435
03-01-2018 20.10,3329.319092,11.63078976,3452.481856
03-01-2018 20.20,3529.600098,12.04831028,3529.26326
03-01-2018 20.30,3600.906982,12.47171974,3576.956728
03-01-2018 20.40,3572.626953,12.99907017,3597.936618
03-01-2018 20.50,3603.386963,13.09140015,3600
03-01-2018 21.00,3602.930908,12.7426796,3592.836226
03-01-2018 21.10,3603.429932,12.76089954,3593.512431
03-01-2018 21.20,3602.925049,12.92584038,3597.442339
03-01-2018 21.30,3599.208984,13.55333042,3600
03-01-2018 21.40,3543.699951,13.43873024,3600
03-01-2018 21.50,3499.864014,13.67728996,3600
03-01-2018 22.00,3486.509033,13.82124043,3600
03-01-2018 22.10,3460.383057,13.91246033,3600
03-01-2018 22.20,3460.043945,14.56830025,3600
03-01-2018 22.30,3460.64209,14.18955994,3600
03-01-2018 22.40,3460.476074,14.22039032,3600
03-01-2018 22.50,3460.370117,14.3476696,3600
03-01-2018 23.00,3460.644043,14.77987003,3600
03-01-2018 23.10,3460.38501,15.17757034,3600
03-01-2018 23.20,3460.126953,15.17123032,3600
03-01-2018 23.30,3460.62207,14.66211987,3600
03-01-2018 23.40,3460.684082,14.55245018,3600
03-01-2018 23.50,3460.427002,15.37493992,3600
04-01-2018 0.00,3603.643066,18.16398048,3600
04-01-2018 0.10,3603.221924,18.1613102,3600
04-01-2018 0.20,3603.36499,17.77362061,3600
04-01-2018 0.30,3603.1521,18.80536079,3600
04-01-2018 0.40,3603.032959,18.95602036,3600
04-01-2018 0.50,3603.011963,19.94508934,3600
04-01-2018 1.00,3602.926025,20.34058952,3600
04-01-2018 1.10,3603.052979,19.46917915,3600
04-01-2018 1.20,3603.001953,19.60198021,3600
04-01-2018 1.30,3602.820068,19.89141083,3600
04-01-2018 1.40,3602.663086,20.0134697,3600
04-01-2018 1.50,3602.856934,19.72508049,3600
04-01-2018 2.00,3602.837891,21.14281082,3600
04-01-2018 2.10,3603.096924,20.99861908,3600
04-01-2018 2.20,3603.343994,19.6033802,3600
04-01-2018 2.30,3603.433105,19.57526016,3600
04-01-2018 2.40,3603.23999,18.64736938,3600
04-01-2018 2.50,3603.185059,18.97927094,3600
04-01-2018 3.00,3603.144043,19.68338013,3600
04-01-2018 3.10,3603.10791,20.05908012,3600
04-01-2018 3.20,3603.461914,18.97838974,3600
04-01-2018 3.30,3603.48999,19.61129951,3600
04-01-2018 3.40,3603.530029,19.34892082,3600
04-01-2018 3.50,3603.136963,19.14031029,3600
04-01-2018 4.00,3603.062012,17.96380997,3600
04-01-2018 4.10,3602.954102,19.45856094,3600
04-01-2018 4.20,3602.441895,20.59454918,3600
04-01-2018 4.30,3602.407959,20.70096016,3600
04-01-2018 4.40,3602.547119,20.84717941,3600
04-01-2018 4.50,3602.274902,21.32930946,3600
04-01-2018 5.00,3602.092041,18.19580078,3600
04-01-2018 5.10,3601.961914,17.69643974,3600
04-01-2018 5.20,3601.823975,19.18948936,3600
04-01-2018 5.30,3601.74707,20.41489983,3600
04-01-2018 5.40,3602.333984,20.54841042,3600
04-01-2018 5.50,3601.958984,17.90695953,3600
04-01-2018 6.00,3602.87207,18.47801971,3600
04-01-2018 6.10,3602.730957,17.18726921,3600
04-01-2018 6.20,3602.89502,17.73974991,3600
04-01-2018 6.30,3603.016113,18.27190018,3600
04-01-2018 6.40,3602.836914,18.60246086,3600
04-01-2018 6.50,3602.625,19.04188919,3600
04-01-2018 7.00,3602.529053,19.06397057,3600
04-01-2018 7.10,3602.840088,19.08691978,3600
04-01-2018 7.20,3602.711914,18.46069908,3600
04-01-2018 7.30,3602.839111,18.55153084,3600
04-01-2018 7.40,3602.818115,18.20610046,3600
04-01-2018 7.50,3602.710938,18.5405407,3600
04-01-2018 8.00,3602.670898,17.45919037,3600
04-01-2018 8.10,3598.435059,17.81809044,3600
04-01-2018 8.20,3602.833008,19.90494919,3600
04-01-2018 8.30,3602.891113,19.40122986,3600
04-01-2018 8.40,3603.238037,19.38532066,3600
04-01-2018 8.50,3603.531982,17.87614059,3600
04-01-2018 9.00,3603.25,17.9142704,3600
04-01-2018 9.10,3603.201904,17.10951042,3600
04-01-2018 9.20,3603.043945,16.10383987,3600
04-01-2018 9.30,3596.653076,16.39907074,3600
04-01-2018 9.40,3593.00708,15.53864956,3600
04-01-2018 9.50,3599.172119,16.26777077,3600
04-01-2018 10.00,3578.677002,16.1704998,3600
04-01-2018 10.10,3603.305908,18.16300011,3600
04-01-2018 10.20,3590.959961,17.30175972,3600
04-01-2018 10.30,3524.012939,14.86620998,3600
04-01-2018 10.40,3391.535889,13.54146957,3600
04-01-2018 10.50,3498.925049,15.97698021,3600
04-01-2018 11.00,3574.851074,14.5447998,3600
04-01-2018 11.10,3391.023926,14.78509998,3600
04-01-2018 11.20,3588.438965,16.64740944,3600
04-01-2018 11.30,3602.468018,17.31300926,3600
04-01-2018 11.40,3603.552002,19.05736923,3600
04-01-2018 11.50,3600.649902,17.52486038,3600
04-01-2018 12.00,3601.391113,18.36561012,3600
04-01-2018 12.10,3603.124023,18.68843079,3600
04-01-2018 12.20,3603.209961,19.10379982,3600
04-01-2018 12.30,3602.893066,19.04981995,3600
04-01-2018 12.40,3603.177979,18.39628029,3600
04-01-2018 12.50,3603.197998,17.11725044,3600
04-01-2018 13.00,3596.931885,17.16345024,3600
04-01-2018 13.10,3603.574951,16.4668293,3600
04-01-2018 13.20,3603.830078,16.36544037,3600
04-01-2018 13.30,3593.525879,15.34269047,3600
04-01-2018 13.40,3592.697998,15.20823956,3600
04-01-2018 13.50,3601.028076,15.97348022,3600
04-01-2018 14.00,3603.528076,17.80850029,3600
04-01-2018 14.10,3603.611084,17.24247932,3600
